item,total_revenue,total_volume
Item_25_FUR,33210,810
Item_19_MILK,24544,767
Item_20_BUT,24455,730
Item_5_CEA,7535,685
Item_2_BEV,4394,676
Item_22_BUT,24528,672
Item_12_BUT,14168.5,659
Item_13_EHE,14835,645
Item_16_MILK,17242.5,627
Item_7_BEV,8498,607
Item_17_MILK,17226,594
Item_11_FOOD,11720,586
Item_5_FUR,6391,581
Item_13_FOOD,13363,581
Item_1_MILK,2890,578
Item_11_MILK,11480,574
Item_11_FUR,11460,573
Item_14_FOOD,13867,566
Item_12_CEA,12147.5,565
Item_25_EHE,23083,563
Item_19_CEA,17856,558
Item_14_BEV,13524,552
Item_12_FOOD,11846.5,551
Item_2_FUR,3575,550
Item_15_EHE,14274,549
Item_8_BEV,8478.5,547
Item_13_MILK,12581,547
Item_3_BUT,4376,547
Item_12_PAT,11717.5,545
Item_6_FUR,6812.5,545
Item_15_CEA,14118,543
Item_8_EHE,8401,542
Item_24_FUR,21172,536
Item_11_PAT,10700,535
Item_16_BEV,14712.5,535
Item_25_BUT,21894,534
Item_15_FUR,13832,532
Item_12_BEV,11352,528
Item_6_FOOD,6587.5,527
Item_20_FOOD,17487,522
Item_3_MILK,4136,517
Item_5_FOOD,5643,513
Item_8_FUR,7905,510
Item_23_BUT,19114,503
Item_25_FOOD,20541,501
Item_17_PAT,14500,500
Item_9_FOOD,8347,491
Item_20_PAT,16381.5,489
Item_18_FOOD,14884,488
Item_23_EHE,18468,486
Item_23_PAT,18354,483
Item_20_EHE,15778.5,471
Item_6_MILK,5875,470
Item_17_BEV,13601,469
Item_20_BEV,15577.5,465
Item_14_FUR,11025,450
Item_16_BUT,12320,448
Item_13_BUT,10258,446
Item_7_MILK,6174,441
Item_17_EHE,12760,440
Item_20_FUR,14572.5,435
Item_23_MILK,16492,434
Item_25_BEV,17794,434
Item_4_PAT,4066,428
Item_15_BUT,11076,426
Item_5_EHE,4631,421
Item_17_FOOD,12122,418
Item_4_EHE,3952,416
Item_20_CEA,13902.5,415
Item_8_MILK,6401.5,413
Item_8_PAT,6308.5,407
Item_24_BEV,15642,396
Item_24_PAT,15523.5,393
Item_10_CEA,7252,392
Item_21_EHE,13685,391
Item_18_BUT,11895,390
Item_4_FOOD,3667,386
Item_11_CEA,7700,385
Item_12_EHE,8234.5,383
Item_21_FUR,13405,383
Item_9_CEA,6477,381
Item_2_CEA,2470,380
Item_23_FUR,14326,377
Item_21_FOOD,12495,357
Item_14_CEA,8673,354
Item_19_EHE,11232,351
Item_1_PAT,1755,351
Item_9_EHE,5933,349
Item_13_CEA,7912,344
Item_6_EHE,4262.5,341
Item_6_BUT,4250,340
Item_22_EHE,12410,340
Item_21_CEA,11690,334
Item_15_PAT,8606,331
Item_1_FUR,1645,329
Item_11_BEV,6480,324
Item_14_PAT,7913.5,323
Item_16_CEA,8882.5,323
Item_19_BEV,9984,312
Item_9_PAT,5253,309
Item_22_MILK,11278.5,309
Item_22_FOOD,11205.5,307
Item_3_FOOD,2440,305
Item_7_PAT,4256,304
Item_3_BEV,2360,295
Item_13_PAT,6762,294
Item_21_BUT,10255,293
Item_6_PAT,3587.5,287
Item_18_CEA,8753.5,287
Item_10_FOOD,5291,286
Item_16_PAT,7810,284
Item_21_BEV,9765,279
Item_4_BEV,2631.5,277
Item_2_MILK,1800.5,277
Item_22_CEA,10074,276
Item_2_BUT,1787.5,275
Item_16_FUR,7535,274
Item_7_FUR,3766,269
Item_7_CEA,3752,268
Item_15_BEV,6942,267
Item_6_CEA,3312.5,265
Item_1_FOOD,1325,265
Item_4_MILK,2508,264
Item_17_CEA,7395,255
Item_5_BUT,2761,251
Item_22_PAT,9125,250
Item_18_MILK,7594.5,249
Item_7_BUT,3472,248
Item_24_BUT,9796,248
Item_2_FOOD,1605.5,247
Item_11_EHE,4920,246
Item_24_MILK,9677.5,245
Item_22_BEV,8942.5,245
Item_18_BEV,7320,240
Item_23_FOOD,9082,239
Item_2_EHE,1495,230
Item_1_EHE,1150,230
Item_8_CEA,3518.5,227
Item_2_PAT,1469,226
Item_25_CEA,9184,224
Item_8_BUT,3441,222
Item_20_MILK,7336.5,219
Item_19_BUT,6944,217
Item_23_CEA,8094,213
Item_23_BEV,7942,209
Item_10_PAT,3829.5,207
Item_10_EHE,3811,206
Item_1_BEV,1020,204
Item_24_FOOD,8058,204
Item_17_FUR,5916,204
Item_9_BEV,3349,197
Item_11_BUT,3840,192
Item_16_EHE,5252.5,191
Item_18_EHE,5642.5,185
Item_1_BUT,925,185
Item_19_FUR,5792,181
Item_4_FUR,1710,180
Item_25_PAT,7380,180
Item_10_FUR,3219,174
Item_17_BUT,4988,172
Item_12_FUR,3655,170
Item_5_MILK,1826,166
Item_10_BEV,2886,156
Item_3_CEA,1248,156
Item_4_BUT,1453.5,153
Item_19_PAT,4768,149
Item_6_BEV,1800,144
Item_15_MILK,3588,138
Item_3_PAT,1024,128
Item_1_CEA,630,126
Item_7_EHE,1750,125
Item_8_FOOD,1937.5,125
Item_3_FUR,992,124
Item_7_FOOD,1708,122
Item_5_PAT,1331,121
Item_18_PAT,3660,120
Item_15_FOOD,2626,101
Item_10_BUT,1739,94
Item_18_FUR,2806,92
Item_12_MILK,1741.5,81
Item_24_EHE,3160,80
Item_9_FUR,1360,80
Item_16_FOOD,2172.5,79
Item_14_MILK,1739.5,71
Item_14_BUT,1690.5,69
Item_21_MILK,2240,64
Item_19_FOOD,1920,60
Item_9_BUT,1020,60
Item_4_CEA,570,60
